Word,Difficulty Level,Vowel Harmony Rule,Arabic Translation,Usage Sentence (Turkish),Usage Sentence (Arabic)
şarkı,A1,I-type (back),أغنية,Güzel şarkı söylüyor.,يغني أغنية جميلة.
fakir,A1,I-type (back),فقير,Fakir bir mahallede yaşıyor.,يعيش في حي فقير.
şirket,B1,E-type (front),شركة,Büyük bir şirkette çalışıyor.,يعمل في شركة كبيرة
tekerlekli sandalye,B2,Mixed,كرسي متحرك,Tekerlekli sandalye kullanıyor.,يستخدم الكرسي المتحرك.
siyah,A1,I-type (back),أسود,Siyah ayakkabı giyiyor.,يرتدي حذاء أسود.
el,A1,E-type (front),يد,Sıcak el,يد دافئة
römork,B1,E-type (front),مقطورة,Römork çekiyor.,يجر المقطورة.
ilaç,A2,I-type (back),دواء,İlaç içmek zorundayım.,يجب أن آخذ الدواء
yapmak,A1,I-type (back),يفعل/يعمل,Ödev yapmak zorundayım.,يجب أن أعمل الواجب المنزلي.
kemer,B1,E-type (front),حزام,Kemer takmak zorundayım.,يجب أن أضع الحزام
un,A1,I-type (back),دقيق,Un almak lazım.,يجب أن أشتري الدقيق.
takım elbise,B2,I-type (back),بدلة,Takım elbise giymek zorundayım.,يجب أن أرتدي بدلة
aşı,B1,I-type (back),لقاح,Aşı olmak gerek,يجب أخذ اللقاح
mart,A1,I-type (back),مارس,Mart ayında bahar başlar.,يبدأ الربيع في شهر مارس.
anlaşma,B2,I-type (back),اتفاقية,İki ülke anlaşma imzaladı.,وقعت الدولتان اتفاقية.
boş,A2,I-type (back),فارغ,Boş zaman,وقت فارغ
tencere,A2,E-type (front),وعاء طبخ,Tencere büyük.,وعاء الطبخ كبير.
defne yaprağı,B1,Mixed,ورق غار,Defne yaprağı koydum.,وضعت ورق الغار.
dolap,A2,I-type (back),خزانة,Elbiselerimi dolaba koydum.,وضعت ملابسي في الخزانة
nokta,B1,I-type (back),نقطة,Haritada nokta işaretledim.,وضعت علامة نقطة على الخريطة
şeker,A2,E-type (front),سكر,Çaya şeker koydum.,وضعت سكر في الشاي
tuz,A1,I-type (back),ملح,Tuz koydum.,وضعت الملح.
sehpa,B2,E-type (front),طاولة صغيرة,Sehpaya bardak koydum.,وضعت الكوب على الطاولة الصغيرة
kimyon,B1,E-type (front),كمون,Kimyon koydum.,وضعت الكمون.
sirke,A2,E-type (front),خل,Sirke salataya koydum.,وضعت الخل في السلطة.
buz,A1,I-type (back),ثلج,Buz koydum.,وضعت الثلج.
demlik,A2,E-type (front),إبريق صغير,Demlik çaya koydum.,وضعت الإبريق الصغير للشاي.
normal,A2,I-type (back),طبيعي,Normal durum,وضع طبيعي
ambulans,A2,I-type (back),إسعاف,Ambulans geldi.,وصلت الإسعاف.
yumuşak,A2,I-type (back),ناعم,Yumuşak yastık,وسادة ناعمة
yastık,A1,I-type (back),وسادة,Yumuşak yastık,وسادة ناعمة
ağırlık,A2,I-type,وزن,Beş kilo ağırlık,وزن خمسة كيلوغرامات
damar,B2,I-type (back),وريد,Kan damarı,وريد الدم
yeşil,A1,E-type,أخضر,Yeşil yaprak,ورقة خضراء
ince,A2,E-type (front),رفيع,İnce kağıt,ورق رفيع
sarma,A2,I-type (back),ورق عنب,Sarma çok lezzetli.,ورق العنب لذيذ جداً.
pembe,A1,E-type,وردي,Pembe gül,وردة وردية
üzgün,A1,E-type (front),حزين,Üzgün yüz,وجه حزين
vadi,B1,I-type (back),وادي,Derin vadi,وادي عميق
o,A1,I-type (back),هو/هي,O benim arkadaşım.,هو/هي صديقي.
gitar,B1,I-type (back),جيتار,Gitar çalabiliyor musun?,هل تستطيع العزف على الجيتار؟
piramit,B2,E-type,هرم,Taş piramit,هرم حجري
şarkı,A2,I-type (back),أغنية,Bu şarkı çok güzel.,هذه الأغنية جميلة جداً
alet,B1,E-type (front),أداة,Bu alet çok faydalı.,هذه الأداة مفيدة جداً
ucuz,A1,I-type (back),رخيص,Bu çok ucuz.,هذا رخيص جداً.
ucuz,A2,I-type (back),رخيص,Bu çok ucuz.,هذا رخيص جداً
gelenek,B2,E-type (front),تقليد,Bu eski bir gelenek.,هذا تقليد قديم
konu,B1,I-type (back),موضوع,Bu konu çok ilginç.,هذا الموضوع مثير للاهتمام جداً
renk,A2,E-type (front),لون,Bu renk çok güzel.,هذا اللون جميل جداً.
iyi,A1,E-type (front),جيد,Bu kitap çok iyi.,هذا الكتاب جيد جداً.
ay,A1,I-type (back),شهر,Bu ay çok soğuk.,هذا الشهر بارد جداً.
şekil,B1,E-type (front),شكل,Bu şekil çok güzel.,هذا الشكل جميل جداً.
kolay,A1,I-type (back),سهل,Bu soru çok kolay.,هذا السؤال سهل جداً.
bozuk,A2,I-type (back),معطل,Bozuk telefon,هاتف معطل
telefon,A1,E-type (front),هاتف,Akıllı telefon,هاتف ذكي
enerji,B2,E-type (front),طاقة,Enerji tasarrufu yapıyoruz.,نوفر الطاقة
izotop,C2,I-type (back),نظير,İzotop çeşidi,نوع النظير
atom,B2,I-type (back),ذرة,Atom çekirdeği,نواة الذرة
nehir,A2,E-type,نهر,Uzun nehir,نهر طويل
mikroskop,C1,I-type (back),مجهر,Mikroskopla bakıyoruz.,ننظر بالمجهر
istasyon,B1,I-type (back),محطة,İstasyonda trenimizi bekliyoruz.,ننتظر قطارنا في المحطة
havaalanı,B1,I-type (back),مطار,Havaalanında bekliyoruz.,ننتظر في المطار
çadır,A2,I-type (back),خيمة,Çadırda uyuduk.,نمنا في الخيمة.
karınca,A2,I-type,نملة,Çalışkan karınca,نملة مجتهدة
kaplan,A2,I-type,نمر,Çizgili kaplan,نمر مخطط
futbol,A2,I-type (back),كرة القدم,Futbol oynuyoruz.,نلعب كرة القدم
park,A1,I-type (back),منتزه,Parkta oynuyoruz,نلعب في المنتزه
sokak,A1,I-type (back),زقاق,Sokakta oynuyoruz.,نلعب في الزقاق.
park,A1,I-type (back),حديقة,Parkta oynuyoruz.,نلعب في الحديقة.
park,A1,I-type (back),حديقة,Parkta oynuyoruz.,نلعب في الحديقة.
park,A1,I-type (back),حديقة,Parkta oynuyoruz.,نلعب في الحديقة.
tenis,A1,E-type (front),تنس,Tenis oynuyoruz.,نلعب التنس.
otel,A2,I-type (back),فندق,Otelde kalıyoruz.,نقيم في الفندق
nokta,A2,I-type,نقطة,Küçük nokta,نقطة صغيرة
villa,A2,I-type (back),فيلا,Villada tatil yapıyoruz.,نقضي إجازة في الفيلا.
iyot,C1,I-type (back),يود,İyot eksikliği,نقص اليود
kalsiyum,B2,I-type (back),كالسيوم,Kalsiyum eksikliği,نقص الكالسيوم
vitamin,B1,E-type (front),فيتامين,Vitamin eksikliği,نقص الفيتامين
demir,B1,E-type (front),حديد,Demir eksikliği,نقص الحديد
pil,A2,E-type (front),بطارية,Pil bitti.,نفدت البطارية.
bilgisayar sınıfı,B1,Mixed,فصل الحاسوب,Bilgisayar sınıfında çalışıyoruz.,نعمل في فصل الحاسوب.
laboratuvar,B2,I-type (back),مختبر,Laboratuvarda çalışıyoruz.,نعمل في المختبر
süpürge,A2,E-type (front),مكنسة,Süpürge ile temizledim.,نظفت بالمكنسة.
ayna,A1,I-type (back),مرآة,Aynaya baktım.,نظرت في المرآة.
kurutma makinesi,B1,I-type (back),نشافة ملابس,Hızlı kurutma makinesi,نشافة ملابس سريعة
düz,A2,E-type (front),مستقيم,Düz yol gidiyoruz.,نسير في طريق مستقيم
şifre,A2,E-type (front),كلمة مرور,Şifre unuttum.,نسيت كلمة المرور.
şifre,B1,E-type (front),كلمة مرور,Şifremi unuttum.,نسيت كلمة المرور.
pasaport,B1,I-type (back),جواز سفر,Pasaportumu unuttum.,نسيت جواز سفري
ceket,A2,E-type (front),سترة,Ceket giymeyi unuttum.,نسيت أن أرتدي السترة
kartal,B1,I-type,نسر,Yüksek kartal,نسر عالي
nem oranı,B2,E-type,نسبة الرطوبة,Nem oranı yüksek,نسبة الرطوبة عالية
tren,A2,E-type (front),قطار,Trenle seyahat ediyoruz.,نسافر بالقطار
don,B2,I-type (back),صقيع,Don düştü,نزل الصقيع
dolu,B1,I-type (back),برد,Dolu yağdı,نزل البرد
ağustos,A1,I-type (back),أغسطس,Ağustos tatile gidiyoruz.,نذهب في إجازة في أغسطس.
hastane,A2,E-type (front),مستشفى,Hastaneye gidiyoruz.,نذهب إلى المستشفى
kamp,B1,I-type (back),مخيم,Kampa gidiyoruz.,نذهب إلى المخيم
eğlence,B1,E-type (front),ترفيه,Eğlence için sinemaya gidiyoruz.,نذهب إلى السينما للترفيه
sinema,A2,E-type (front),سينما,Sinemaya gidiyoruz.,نذهب إلى السينما
yaz,A2,I-type (back),صيف,Yazın denize gideriz.,نذهب إلى البحر في الصيف.
arı,A2,I-type,نحلة,Bal arısı,نحلة العسل
çatal,A1,I-type (back),شوكة,Çatal ve bıçak lazım.,نحتاج الشوكة والسكين.
parlak,B1,I-type (back),لامع,Parlak yıldızlar.,نجوم لامعة
salon,A1,I-type (back),صالة,Salonda oturuyoruz.,نجلس في الصالة.
deney,B2,E-type (front),تجربة,Deney başarılı oldu.,نجحت التجربة
biyopsi,C1,E-type (front),خزعة,Biyopsi sonucu,نتيجة الخزعة
sonra,A1,I-type (back),بعد ذلك,Sonra görüşürüz,نتحدث بعد ذلك
kapalı,A1,I-type (back),مغلق,Kapalı pencere,نافذة مغلقة
dikdörtgen,B2,E-type (front),مستطيل,Dikdörtgen pencere.,نافذة مستطيلة
pencere,A1,E-type (front),نافذة,Büyük pencere,نافذة كبيرة
ocak,A2,I-type (back),موقد,Gazlı ocak,موقد غاز
önemsiz,B1,E-type (front),غير مهم,Önemsiz konu,موضوع غير مهم
dikey,B2,E-type (front),عمودي,Dikey konum,موضع عمودي
müzisyen,B2,E-type (front),موسيقي,Yetenekli bir müzisyen.,موسيقي موهوب
prizma,B2,E-type,منشور,Üçgen prizma,منشور مثلثي
sen,A1,E-type (front),أنت,Sen nerelisin?,من أين أنت؟
koridor,A2,I-type (back),ممر,Uzun koridor,ممر طويل
milyon,A2,E-type (front),مليون,Bir milyon insan.,مليون شخص.
tuzlamak,B2,I-type (back),يمّلح,Balığı tuzladım.,ملحت السمك
çarşaf,A2,I-type (back),ملاءة,Temiz çarşaf,ملاءة نظيفة
klima,A2,I-type (back),مكيف هواء,Soğuk klima,مكيف هواء بارد
ütü,A2,E-type (front),مكواة,Elektrikli ütü,مكواة كهربائية
süpürge,A2,E-type (front),مكنسة,Elektrikli süpürge,مكنسة كهربائية
çinko,C1,E-type (front),زنك,Çinko takviyesi,مكمل الزنك
güvenli,A2,E-type (front),آمن,Güvenli yer,مكان آمن
cıva,C1,I-type (back),زئبق,Cıva termometre,مقياس حرارة زئبقي
şarkıcı,A2,I-type (back),مغني/مغنية,Ünlü bir şarkıcı.,مغني/مغنية مشهور/ة
yanlış,A1,I-type (back),خطأ,Yanlış bilgi,معلومة خاطئة
öğretmen,A1,E-type (front),معلم,Öğretmenim çok nazik.,معلمي لطيف جداً
fosfor,C1,I-type (back),فوسفور,Fosfor minerali,معدن الفوسفور
titanyum,C1,I-type (back),تيتانيوم,Titanyum metal,معدن التيتانيوم
asit,B2,E-type (front),حامض,Asit yağmuru,مطر حمضي
mutfak,A1,I-type (back),مطبخ,Modern mutfak,مطبخ حديث
kuaför,A2,E-type (front),مصفف شعر,Kuaför saçımı yaptı.,مصفف الشعر صفف شعري.
potasyum,C1,I-type (back),بوتاسيوم,Potasyum kaynağı,مصدر البوتاسيوم
vadi,A2,I-type (back),وادي,Vadide yürüdük.,مشينا في الوادي.
kilometre,A2,E-type (front),كيلومتر,On kilometre yürüdük,مشينا عشرة كيلومترات
altmış,A1,I-type (back),ستون,Altmış kilometre yürüdüm.,مشيت ستين كيلومتراً.
zor,A1,I-type (back),صعب,Zor problem,مشكلة صعبة
paspas,A2,I-type (back),ممسحة,Paspas ile sildim.,مسحت بالممسحة.
silgi,A2,E-type (front),ممحاة,Silgi ile sildim.,مسحت بالممحاة.
bez,B1,E-type (front),قماش,Bezle masayı sildim.,مسحت الطاولة بالقماش
dikdörtgen,B1,E-type,مستطيل,Uzun dikdörtgen,مستطيل طويل
satış danışmanı,B1,Mixed,مستشار مبيعات,Satış danışmanı yardım etti.,مستشار المبيعات ساعد.
araştırma görevlisi,B2,Mixed,مساعد باحث,Araştırma görevlisi tez hazırlıyor.,مساعد الباحث يحضر الأطروحة.
alan,B1,I-type,مساحة,Geniş alan,مساحة واسعة
şeker,A1,E-type (front),سكر,Şeker hastası,مريض السكر
vantilator,B1,I-type (back),مروحة,Tavan vantilatörü,مروحة السقف
pomad,B2,I-type (back),مرهم,Yara pomadı,مرهم الجرح
merkez,B1,E-type,مركز,Şehir merkezi,مركز المدينة
merkez,B1,E-type (front),مركز,Dairenin merkezi.,مركز الدائرة.
dirsek,B2,E-type (front),مرفق,Dirseğim çok ağrıyor.,مرفقي يؤلمني كثيراً.
polis arabası,A2,Mixed,سيارة شرطة,Polis arabası geçti.,مرت سيارة الشرطة.
doksan,A1,I-type (back),تسعون,Doksan gün geçti.,مرت تسعون يوماً.
kare,A2,I-type,مربع,Kırmızı kare,مربع أحمر
kolesterol,B2,E-type (front),كولسترول,Kolesterol kontrolü,مراقبة الكولسترول
sodyum,C1,I-type (back),صوديوم,Sodyum kontrolü,مراقبة الصوديوم
koni,B2,E-type,مخروط,Buz koni,مخروط ثلج
biyoloji,B2,E-type (front),أحياء,Biyoloji laboratuvarı büyük.,مختبر الأحياء كبير
çevre,B1,E-type,محيط,Şehir çevresi,محيط المدينة
silgi,A1,E-type (front),ممحاة,Silgiyle sildim.,محوت بالممحاة.
silgi,A2,E-type (front),ممحاة,Silgiyle sildim.,محوت بالممحاة
baz,B2,I-type (back),قاعدة,Baz çözelti,محلول قاعدي
tramvay,B1,I-type (back),ترام,Tramvay durağı yakın.,محطة الترام قريبة.
istiridye,B2,E-type (front),محارة,Deniz istiridyesi,محارة البحر
üçgen,A2,E-type,مثلث,Eşkenar üçgen,مثلث متساوي الأضلاع
yüksek,A1,E-type (front),عالي,Yüksek bina,مبنى عالي
gram,A2,I-type (back),غرام,Yüz gram şeker,مائة غرام من السكر
mikrodalga,B1,I-type (back),مايكروويف,Hızlı mikrodalga,مايكروويف سريع
keçi,A1,E-type,ماعز,Dağ keçisi,ماعز جبلي
opak,B2,I-type,معتم,Opak madde,مادة معتمة
opak,C1,I-type (back),معتم,Opak malzeme.,مادة معتمة
radioaktif,C1,I-type (back),مشع,Radioaktif madde,مادة مشعة
katı,B1,I-type (back),صلب,Katı madde,مادة صلبة
mineral,B2,E-type (front),معدن,Mineral su,ماء معدني
tuzlu,A2,I-type (back),مالح,Tuzlu su,ماء مالح
tuz,A1,I-type (back),ملح,Tuzlu su,ماء مالح
renksiz,B2,E-type (front),عديم اللون,Renksiz su.,ماء عديم اللون
durgun,B1,I-type (back),ساكن,Durgun su,ماء ساكن
soğuk,A1,I-type (back),بارد,Soğuk su,ماء بارد
para,A1,I-type (back),نقود,Param yok.,ليس لدي نقود.
düşman,B2,E-type (front),عدو,Düşmanım yok.,ليس لدي عدو
yok,A1,I-type (back),لا يوجد/ليس لديه,Bugün dersim yok.,ليس لدي درس اليوم.
resim,B1,E-type (front),لوحة/صورة,Güzel bir resim.,لوحة جميلة
tablet,A2,I-type (back),لوحة إلكترونية,Küçük tablet,لوحة إلكترونية صغيرة
sıfır,A1,I-type (back),صفر,Sıfırdan başlayalım.,لنبدأ من الصفر.
dosya,A2,I-type (back),ملف,Dosya kaydedemedim.,لم أستطع حفظ الملف.
voleybol,A2,I-type (back),كرة الطائرة,Voleybol oynadık.,لعبنا كرة الطائرة.
spor salonu,A2,Mixed,صالة رياضة,Spor salonunda basketbol oynadık.,لعبنا كرة السلة في الصالة الرياضية.
eğlence merkezi,A2,E-type (front),مركز ترفيهي,Eğlence merkezinde oyun oynadık.,لعبنا ألعاباً في المركز الترفيهي.
yüz,A2,E-type (front),وجه,Güzel bir yüzü var.,لديه وجه جميل
zengin,A1,E-type (front),غني,Zengin bir ailesi var.,لديه عائلة غنية.
kirpik,B2,E-type (front),رمش,Uzun kirpikleri var.,لديه رموش طويلة
misafir,B1,I-type (back),ضيف,Bu akşam misafirimiz var.,لدينا ضيف هذا المساء
meşgul,A2,E-type (front),مشغول,Meşgul günüm var,لدي يوم مشغول
soğukalgınlığı,B1,I-type (back),نزلة برد,Soğuk algınlığı var,لدي نزلة برد
genç,A1,E-type (front),شاب,Genç bir öğretmenim var.,لدي معلم شاب.
tanıdık,B2,I-type (back),معارف,Birçok tanıdığım var.,لدي معارف كثيرون
küçük,A1,E-type (front),صغير,Küçük bir kedim var.,لدي قطة صغيرة.
eski,A1,E-type (front),قديم,Eski bir dostum var.,لدي صديق قديم.
başağrısı,B1,I-type (back),صداع,Başağrısı var,لدي صداع
uzun,A1,I-type (back),طويل,Uzun saçlarım var.,لدي شعر طويل.
var,A1,I-type (back),يوجد/لديه,Benim bir arabam var.,لدي سيارة.
öksürük,A2,E-type (front),سعال,Öksürüğüm var.,لدي سعال.
soğuk algınlığı,A2,I-type (back),زكام,Soğuk algınlığım var.,لدي زكام.
ateş,A1,E-type (front),حمى,Ateşim var.,لدي حمى.
ateş,A2,E-type (front),حمى,Ateşim var,لدي حمى
hesap,B1,E-type (front),حساب,Banka hesabım var.,لدي حساب بنكي
ağrı,A1,I-type (back),ألم,Başımda ağrı var.,لدي ألم في رأسي.
ağrı,A1,I-type (back),ألم,Başımda ağrı var.,لدي ألم في رأسي.
ağrı,B1,I-type (back),ألم,Başımda ağrı var.,لدي ألم في رأسي
gözağrısı,B1,E-type (front),ألم العين,Göz ağrısı var,لدي ألم في العين
dört,A1,I-type (back),أربعة,Dört arkadaşım var.,لدي أربعة أصدقاء.
kardeş,A1,E-type (front),أخ/أخت,Benim iki kardeşim var.,لدي أخان/أختان.
kardeş,A2,E-type (front),أخ/أخت,İki kardeşim var.,لدي أخان
erkek kardeş,A2,Mixed,أخ,Erkek kardeşim var,لدي أخ
pişmiş,A2,E-type (front),مطبوخ,Pişmiş et,لحم مطبوخ
yorgan,A2,I-type (back),لحاف,Sıcak yorgan,لحاف دافئ
internet,A2,E-type (front),إنترنت,İnternet bağlantısı yok.,لا يوجد اتصال إنترنت.
dosya,B1,I-type (back),ملف,Dosyayı açamıyorum.,لا أستطيع فتح الملف
sosyal medya,B2,I-type (back),وسائل التواصل الاجتماعي,Sosyal medya kullanmıyorum.,لا أستخدم وسائل التواصل الاجتماعي.
hardal,A2,I-type (back),خردل,Hardal sosunu sevmem.,لا أحب صوص الخردل.
dolu,A2,I-type (back),مليء,Dolu bardak,كوب مليء
ay,A1,I-type (back),شهر,Geçen ay İstanbul'daydım.,كنت في إسطنبول الشهر الماضي.
geçen,A1,E-type (front),الماضي,Geçen hafta tatildeydim.,كنت في إجازة الأسبوع الماضي.
gelin,A2,E-type (front),كنة/عروس,Gelinem çok güzel,كنتِ جميلة جداً
kanepe,A2,E-type (front),كنبة,Uzun kanepe,كنبة طويلة
böbrek,B1,E-type (front),كلية,İki böbrek,كليتان
köpek,A1,E-type (front),كلب,Köpeğim çok sevimli.,كلبي لطيف جداً.
köpek,A1,I-type (back),كلب,Köpeğim çok sevimli.,كلبي لطيف جداً
köpek,A1,E-type,كلب,Küçük köpek,كلب صغير
önce,A1,E-type (front),قبل,Önce yemek ye,كل أولاً
lezzetli,A2,E-type (front),لذيذ,Lezzetli pasta,كعكة لذيذة
tatlı,A1,I-type (back),حلو,Tatlı pasta,كعكة حلوة
topuk,B1,I-type (back),كعب,Yüksek topuk,كعب عالي
krem,A2,E-type (front),كريم,Cilt kremi,كريم البشرة
rahat,A2,I-type (back),مريح,Rahat koltuk,كرسي مريح
sandalye,A1,E-type (front),كرسي,Rahat sandalye,كرسي مريح
küre,B2,E-type,كرة,Cam küre,كرة زجاجية
basketbol,B1,I-type (back),كرة السلة,Basketbol çok eğlenceli.,كرة السلة ممتعة جداً
garaj,A2,I-type (back),كراج,Arabalı garaj,كراج بالسيارة
kum tepesi,B2,I-type (back),كثيب رملي,Büyük kum tepesi,كثيب رملي كبير
yoğunluk,B2,I-type (back),yoğunluk,Su yoğunluğu,كثافة الماء
omuz,A2,I-type (back),كتف,Omzum ağrıyor.,كتفي يؤلمني.
omuz,B1,I-type (back),كتف,Omzum ağrıyor.,كتفي يؤلمني.
omuz,A2,I-type (back),كتف,Omzum ağrıyor.,كتفي يؤلمني
omuz,A2,I-type (back),كتف,Geniş omuz,كتف عريض
defter,A1,E-type (front),دفتر,Defterime not aldım.,كتبت ملاحظة في دفتري.
klavye,A2,I-type (back),لوحة مفاتيح,Klavye üzerinde yazdım.,كتبت على لوحة المفاتيح.
çek,B1,E-type (front),شيك,Çek yazdım.,كتبت شيكاً
mektup,A2,E-type (front),رسالة,Mektup yazdım,كتبت رسالة
e-posta,B1,E-type (front),بريد إلكتروني,E-posta yazdım.,كتبت بريداً إلكترونياً
tez,B2,E-type (front),أطروحة,Tezimi yazdım.,كتبت أطروحتي
tahta,A1,I-type (back),لوح,Öğretmen tahtaya yazdı.,كتب المعلم على اللوح.
kalın,A2,I-type (back),سميك,Kalın kitap,كتاب سميك
yeni,A1,E-type (front),جديد,Yeni bir kitap.,كتاب جديد
köy,A1,I-type (back),قرية,Köyde büyüdüm.,كبرت في القرية.
karaciğer,B1,E-type (front),كبد,Sağlıklı karaciğer,كبد صحي
nisan,A1,I-type (back),أبريل,Nisan yağmurlu geçti.,كان شهر أبريل ممطراً.
sınav,A2,I-type (back),امتحان,Sınav çok zordu.,كان الامتحان صعباً جداً.
motosiklet,B1,I-type (back),دراجة نارية,Motosiklet sürmek tehlikeli.,قيادة الدراجة النارية خطيرة
gökkuşağı,B2,I-type (back),قوس قزح,Gökkuşağı çok güzel.,قوس قزح جميل جداً.
güç,B1,E-type (front),قوة,Motor gücü,قوة المحرك
kuvvet,B2,E-type (front),قوة,Çekim kuvveti,قوة الجذب
acı,A2,I-type (back),مر/حار,Acı kahve,قهوة مرة
denizanası,B2,I-type (back),قنديل البحر,Renkli denizanası,قنديل البحر الملون
medüz,B2,E-type (front),قنديل البحر,Şeffaf medüz,قنديل البحر الشفاف
oksijen,B2,E-type (front),أكسجين,Oksijen maskesi,قناع الأكسجين
kirli,A2,E-type (front),قذر,Kirli bir gömlek.,قميص قذر
gevşek,B1,E-type (front),فضفاض,Gevşek gömlek,قميص فضفاض
açık,A2,I-type (back),فاتح,Açık mavi gömleği.,قميص أزرق فاتح
beyaz,A1,I-type,أبيض,Beyaz gömlek,قميص أبيض
tur,B1,I-type (back),جولة,Şehir turu yaptık.,قمنا بجولة في المدينة
borsa,B2,I-type (back),بورصة,Borsada işlem yaptım.,قمت بصفقة في البورصة
rezervasyon,B2,I-type (back),حجز,Rezervasyon yaptırdım.,قمت بحجز
transfer,B2,E-type (front),تحويل,Para transferi yaptım.,قمت بتحويل مال
ödeme,B1,I-type (back),دفع,Ödeme yaptım.,قمت بالدفع
rezervasyon,A2,I-type (back),حجز,Rezervasyon yaptım,قمت بالحجز
fotokopi,B1,I-type (back),تصوير,Fotokopi çektim.,قمت بالتصوير
hafif,A2,E-type,خفيف,Hafif kumaş,قماش خفيف
tava,A1,I-type (back),مقلاة,Tavada yumurta pişirdim.,قليت البيض في المقلاة.
tırnak,A2,I-type (back),ظفر,Tırnaklarımı kestim.,قلمت أظافري.
kurşun,B2,I-type (back),رصاص,Kurşun kalem,قلم رصاص
kalp,A2,I-type (back),قلب,Sağlıklı kalp,قلب صحي
durmak,A1,I-type (back),يقف,Burada dur.,قف هنا.
üzüm,A1,E-type (front),عنب,Üzüm topladık.,قطفنا العنب.
testere,B2,E-type (front),منشار,Testereyle tahta kestim.,قطعت الخشب بالمنشار
maydanoz,A2,I-type (back),بقدونس,Maydanoz doğradım.,قطعت البقدونس.
damla,A2,I-type (back),قطرة,Göz damlası,قطرة العين
çap,C1,I-type (back),قطر,Dairenin çapı 10 cm.,قطر الدائرة 10 سم.
kedi,A1,E-type (front),قطة,Kedim çok oyuncu.,قطتي مرحة جداً.
kedi,A1,E-type,قطة,Sevimli kedi,قطة لطيفة
tembel,A2,E-type (front),كسول,Tembel kedi,قطة كسولة
